username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,150000,https://github.com//ohmyzsh/ohmyzsh
junegunn,fzf,46900,https://github.com//junegunn/fzf
sharkdp,bat,37000,https://github.com//sharkdp/bat
sherlock-project,sherlock,35400,https://github.com//sherlock-project/sherlock
google,zx,34000,https://github.com//google/zx
wagoodman,dive,33700,https://github.com//wagoodman/dive
BurntSushi,ripgrep,33100,https://github.com//BurntSushi/ripgrep
chubin,cheat.sh,30400,https://github.com//chubin/cheat.sh
cli,cli,29800,https://github.com//cli/cli
jesseduffield,lazygit,29700,https://github.com//jesseduffield/lazygit
spf13,cobra,28500,https://github.com//spf13/cobra
angular,angular-cli,25600,https://github.com//angular/angular-cli
n8n-io,n8n,25000,https://github.com//n8n-io/n8n
alebcay,awesome-shell,24800,https://github.com//alebcay/awesome-shell
sharkdp,fd,24500,https://github.com//sharkdp/fd
ibraheemdev,modern-unix,24200,https://github.com//ibraheemdev/modern-unix
httpie,httpie,23600,https://github.com//httpie/httpie
google,python-fire,23000,https://github.com//google/python-fire
tqdm,tqdm,22900,https://github.com//tqdm/tqdm
vercel,pkg,21900,https://github.com//vercel/pkg
